matrix_size,threads,time_sec,speedup,efficiency
10,1,.002640,1.000,100.0
10,2,.002629,1.071,53.5
10,4,.002680,1.050,26.2
10,8,.002696,1.044,13.0
10,16,.003048,.923,5.7
25,1,.002582,1.000,100.0
25,2,.002674,1.028,51.4
25,4,.002659,1.033,25.8
25,8,.002582,1.064,13.3
25,16,.002622,1.048,6.5
50,1,.002669,1.000,100.0
50,2,.002622,.995,49.7
50,4,.002601,1.003,25.0
50,8,.002630,.992,12.4
50,16,.002612,.999,6.2
100,1,.002783,1.000,100.0
100,2,.002594,1.016,50.8
100,4,.002627,1.003,25.0
100,8,.002477,1.064,13.3
100,16,.002497,1.056,6.6
200,1,.002613,1.000,100.0
200,2,.002593,.998,49.9
200,4,.002527,1.024,25.6
200,8,.002554,1.013,12.6
200,16,.002457,1.053,6.5
500,1,.002508,1.000,100.0
500,2,.002493,1.018,50.9
500,4,.002579,.984,24.6
500,8,.002831,.897,11.2
500,16,.002699,.941,5.8
1000,1,.002685,1.000,100.0
1000,2,.002734,1.004,50.2
1000,4,.002649,1.036,25.9
1000,8,.002713,1.012,12.6
1000,16,.002759,.995,6.2
2000,1,.002799,1.000,100.0
2000,2,.002718,1.006,50.3
2000,4,.002661,1.028,25.7
2000,8,.002714,1.008,12.6
2000,16,.002680,1.021,6.3
