matrix_size,threads,time_sec,speedup,efficiency
10,1,.225648,1.000,100.0
10,2,.254115,.944,47.2
10,4,.247972,.968,24.2
10,8,.233657,1.027,12.8
10,16,.262087,.916,5.7
25,1,.245573,1.000,100.0
25,2,.245594,1.034,51.7
25,4,.247499,1.027,25.6
25,8,.240548,1.056,13.2
25,16,.252794,1.005,6.2
50,1,.258860,1.000,100.0
50,2,.265139,.938,46.9
50,4,.275925,.902,22.5
50,8,.293398,.848,10.6
50,16,.295721,.841,5.2
100,1,.313505,1.000,100.0
100,2,.265138,1.147,57.3
100,4,.244261,1.245,31.1
100,8,.257092,1.183,14.7
100,16,.281481,1.080,6.7
200,1,.436030,1.000,100.0
200,2,.353807,1.479,73.9
200,4,.342814,1.527,38.1
200,8,.334463,1.565,19.5
200,16,.307554,1.702,10.6
500,1,1.963814,1.000,100.0
500,2,1.290595,1.525,76.2
500,4,.937775,2.098,52.4
500,8,.764678,2.574,32.1
500,16,.682741,2.882,18.0
1000,1,7.175471,1.000,100.0
1000,2,5.293496,1.402,70.1
1000,4,3.516314,2.111,52.7
1000,8,2.821820,2.631,32.8
1000,16,2.528326,2.936,18.3
2000,1,31.037807,1.000,100.0
2000,2,19.768588,1.610,80.5
2000,4,13.274063,2.397,59.9
2000,8,10.454456,3.044,38.0
2000,16,8.464335,3.760,23.5
